"War for the Planet of the Apes","3","action","f",38,2
"War for the Planet of the Apes","2","action","m",33,2
"War for the Planet of the Apes","5","action","m",28,3
"War for the Planet of the Apes","3","action","m",34,1
"War for the Planet of the Apes","1","action","f",27,1
"War for the Planet of the Apes","4","action","m",38,3
"War for the Planet of the Apes","3","action","f",33,3
"War for the Planet of the Apes","4","action","m",41,4
"Wonder Woman","5","action","f",38,2
"Wonder Woman","3","action","m",33,2
"Wonder Woman","4","action","m",28,3
"Wonder Woman","5","action","m",34,1
"Wonder Woman","4","action","f",27,1
"Wonder Woman","5","action","m",38,3
"Wonder Woman","5","action","f",33,3
"Wonder Woman","3","action","m",41,4
"Spider-Man: Homecoming","4","action","f",38,2
"Spider-Man: Homecoming","3","action","m",33,2
"Spider-Man: Homecoming","4","action","m",28,3
"Spider-Man: Homecoming","5","action","m",34,1
"Spider-Man: Homecoming","4","action","f",27,1
"Spider-Man: Homecoming","4","action","m",38,3
"Spider-Man: Homecoming","3","action","f",33,3
"Spider-Man: Homecoming","3","action","f",41,4
"Beauty and the Beast","4","romantic","f",38,2
"Beauty and the Beast","1","romantic","m",33,2
"Beauty and the Beast","5","romantic","m",28,3
"Beauty and the Beast","4","romantic","m",34,1
"Beauty and the Beast","3","romantic","f",27,1
"Beauty and the Beast","3","romantic","m",38,3
"Beauty and the Beast","2","romantic","m",41,4
"Alien: Covenant","3","horror","f",38,2
"Alien: Covenant","3","horror","m",33,2
"Alien: Covenant","2","horror","m",28,3
"Alien: Covenant","2","horror","m",34,1
"Alien: Covenant","1","horror","f",27,1
"Alien: Covenant","3","horror","m",38,3
"Alien: Covenant","2","horror","f",33,3
"Alien: Covenant","4","horror","m",41,4
"John Wick: Chapter 2","3","action","f",38,2
"John Wick: Chapter 2","1","action","m",33,2
"John Wick: Chapter 2","5","action","m",28,3
"John Wick: Chapter 2","5","action","m",34,1
"John Wick: Chapter 2","4","action","f",27,1
"John Wick: Chapter 2","4","action","m",38,3
"John Wick: Chapter 2","4","action","m",41,4
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","f",38,2
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","m",33,2
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","m",28,3
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","m",34,1
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","f",27,1
"Pirates of the Caribbean: Dead Men Tell No Tales","2","action","m",38,3
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","f",33,3
"Pirates of the Caribbean: Dead Men Tell No Tales","3","action","m",41,4
